bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
17748,57,27.4,0,1,239.97,10.95
24965,28,28.0,1,0,239.98,10.71
20253,47,26.97,1,0,239.98,11.12
20312,61,27.02,0,1,239.98,11.1
20948,54,27.42,1,0,240.0,10.94
31224,48,29.38,0,1,240.0,10.21
16388,19,23.78,1,0,240.0,12.62
3994,38,26.68,1,0,240.0,11.24
13034,45,24.53,0,1,240.0,12.23
27772,51,29.4,0,1,240.0,10.2
22072,60,24.45,0,1,240.03,12.27
25123,26,27.4,0,1,240.03,10.95
6733,35,27.0,0,1,240.03,11.11
16052,34,26.22,1,0,240.03,11.44
23968,60,30.55,1,0,240.03,9.82
23277,55,27.17,1,0,240.03,11.04
22437,68,26.85,0,1,240.03,11.17
21618,47,25.62,1,0,240.05,11.71
21653,57,27.35,1,0,240.05,10.97
21149,48,28.57,1,0,240.05,10.5
23247,52,27.08,1,0,240.07,11.08
23824,61,27.9,1,0,240.08,10.75
14344,54,28.15,0,1,240.08,10.66
23886,55,28.17,1,0,240.1,10.65
27718,48,29.18,0,1,240.1,10.28
24927,32,28.95,0,1,240.1,10.36
12697,55,25.07,0,1,240.12,11.97
20576,42,26.52,1,0,240.13,11.31
20426,44,25.17,1,0,240.17,11.92
26575,48,28.48,0,1,240.17,10.53
24754,27,28.55,0,1,240.17,10.51
31071,46,27.97,0,1,240.17,10.73
27885,34,27.5,1,0,240.2,10.91
25171,35,28.33,0,1,240.2,10.59
27420,39,30.3,0,1,240.22,9.9
26502,40,29.13,1,0,240.22,10.3
30325,27,25.18,0,1,240.22,11.91
21873,46,26.08,1,0,240.22,11.5
23763,65,27.58,0,1,240.22,10.88
27805,44,27.17,0,1,240.22,11.04
23261,55,27.6,1,0,240.22,10.87
27262,64,28.98,0,1,240.23,10.35
27624,52,26.25,0,1,240.25,11.43
19036,62,28.1,0,1,240.25,10.68
26888,39,29.6,1,0,240.25,10.14
15777,45,27.05,1,0,240.25,11.09
22509,56,26.63,1,0,240.25,11.27
20952,62,26.37,0,1,240.25,11.38
30453,42,27.4,0,1,240.27,10.95
23814,61,27.83,1,0,240.27,10.78
31558,49,26.32,0,1,240.28,11.4
21634,54,26.77,1,0,240.28,11.21
15760,50,28.43,1,0,240.28,10.55
23835,66,26.93,0,1,240.28,11.14
22221,50,27.15,1,0,240.32,11.05
23590,58,26.98,1,0,240.32,11.12
